start_id,end_id,start_date,end_date,subscription_type
6,11,8/30/2013 12:16,8/30/2013 12:26,Subscriber
50,54,8/30/2013 21:08,8/30/2013 21:18,Customer
45,49,8/30/2013 7:59,8/30/2013 8:09,Customer
50,43,8/30/2013 13:19,8/30/2013 13:29,Customer
50,50,8/30/2013 16:06,8/30/2013 16:16,Subscriber
5,6,8/30/2013 21:15,8/30/2013 21:24,Customer
63,50,8/30/2013 14:30,8/30/2013 14:39,Customer
37,59,8/30/2013 17:03,8/30/2013 17:13,Subscriber
50,45,8/30/2013 12:08,8/30/2013 12:18,Customer
8,9,8/30/2013 17:57,8/30/2013 18:07,Subscriber
58,50,8/30/2013 10:27,8/30/2013 10:37,Customer
44,59,8/30/2013 14:55,8/30/2013 15:05,Customer
55,47,8/30/2013 8:56,8/30/2013 9:06,Customer
5,6,8/30/2013 18:18,8/30/2013 18:28,Customer
65,55,8/30/2013 12:43,8/30/2013 12:53,Subscriber
43,64,8/30/2013 14:30,8/30/2013 14:40,Customer
50,43,8/30/2013 13:19,8/30/2013 13:29,Customer
11,4,8/30/2013 12:53,8/30/2013 13:03,Subscriber
50,38,8/30/2013 18:54,8/30/2013 19:04,Customer
41,50,8/30/2013 19:31,8/30/2013 19:42,Customer
50,43,8/30/2013 13:19,8/30/2013 13:29,Customer
14,7,8/30/2013 17:15,8/30/2013 17:26,Customer
43,64,8/30/2013 14:30,8/30/2013 14:40,Customer
63,57,8/30/2013 19:22,8/30/2013 19:32,Customer
42,58,8/30/2013 20:18,8/30/2013 20:28,Subscriber
42,35,8/30/2013 16:41,8/30/2013 16:51,Subscriber
47,35,8/30/2013 10:55,8/30/2013 11:05,Customer
45,59,8/30/2013 13:28,8/30/2013 13:38,Subscriber
55,54,8/30/2013 16:35,8/30/2013 16:45,Subscriber
7,1,8/30/2013 21:19,8/30/2013 21:30,Subscriber
65,39,8/30/2013 12:24,8/30/2013 12:34,Customer
47,54,8/30/2013 6:33,8/30/2013 6:43,Customer
41,59,8/30/2013 19:43,8/30/2013 19:54,Subscriber
5,11,8/30/2013 12:18,8/30/2013 12:29,Subscriber
37,41,8/30/2013 14:42,8/30/2013 14:52,Customer
59,37,8/30/2013 19:22,8/30/2013 19:33,Customer
54,53,8/30/2013 19:20,8/30/2013 19:31,Customer
1,7,8/30/2013 19:51,8/30/2013 20:01,Subscriber
65,62,8/30/2013 22:53,8/30/2013 23:03,Subscriber
45,35,8/30/2013 9:02,8/30/2013 9:12,Customer
40,42,8/30/2013 8:39,8/30/2013 8:50,Subscriber
66,50,8/30/2013 10:25,8/30/2013 10:36,Customer
46,56,8/30/2013 12:02,8/30/2013 12:13,Subscriber
66,50,8/30/2013 12:16,8/30/2013 12:27,Customer
58,57,8/30/2013 16:13,8/30/2013 16:24,Customer
46,56,8/30/2013 12:02,8/30/2013 12:12,Subscriber
61,60,8/30/2013 18:51,8/30/2013 19:02,Customer
59,37,8/30/2013 8:42,8/30/2013 8:53,Subscriber
51,61,8/30/2013 18:22,8/30/2013 18:33,Subscriber
34,65,8/30/2013 15:04,8/30/2013 15:15,Customer
59,43,8/30/2013 8:00,8/30/2013 8:11,Subscriber
58,57,8/30/2013 16:13,8/30/2013 16:24,Customer
40,49,8/30/2013 16:24,8/30/2013 16:35,Subscriber
33,53,8/30/2013 9:49,8/30/2013 10:00,Customer
61,54,8/30/2013 10:56,8/30/2013 11:07,Subscriber
54,52,8/30/2013 14:12,8/30/2013 14:23,Customer
37,41,8/30/2013 14:41,8/30/2013 14:52,Customer
